doi,title,abstract,date,category,disease_label,keyword_used
10.1101/2020.11.11.378646,Dengue virus protease activity modulated by dynamics of protease cofactor,"The viral protease domain (NS3pro) of dengue virus is essential for virus replication and its cofactor NS2B is indispensable for the proteolytic function. Although several NS3pro-NS2B complex structures have been obtained, the dynamic property of the complex remains poorly understood. Using NMR relaxation techniques, here we found that NS3pro-NS2B exists in both closed and open conformations which are in dynamic equilibrium on a sub-millisecond timescale in aqueous solution. Our structural information indicates that the C-terminal region of NS2B is disordered in the open conformation but folded in the closed conformation. Using mutagenesis, we showed that the closed-open conformational equilibrium can be shifted by changing NS2B stability. Moreover, we revealed that the proteolytic activity of NS3pro-NS2B correlates well with the population of the closed conformation. Our results suggest that the closed-open conformational equilibrium can be used by both nature and man to control the replication of dengue virus.

Statement of SignificanceThe dengue virus protease is an attractive target for drug development against dengue fever as it is essential for virus replication. However, its structure-based drug development has been unsuccessful due to the shallow substrate-binding pocket. The study presented here demonstrates for the first time that the protease activity can be reduced dramatically by shifting the closed-open conformational equilibrium of the protease in complex with its cofactor from the majority of a closed conformation to the majority of an open conformation. Moreover, our work clarifies the structure of the open conformation which has been elusive for a long time. Our results also suggest an alternative method for designing protease inhibitors based on the closed-open conformational equilibrium.",2020-11-11,biophysics,Dengue,Dengue
10.1101/2020.01.20.912097,The effects of seasonal climate variability on dengueannual incidence in Hong Kong: A modellingstudy,"In recent years, dengue has been rapidly spreading and growing in the tropics and subtropics. Located in southern China, Hong Kongs subtropical monsoon climate may favour dengue vector populations and increase the chance of disease transmissions during the rainy summer season. An increase in local dengue incidence has been observed in Hong Kong ever since the first case in 2002, with an outbreak reaching historically high case numbers in 2018. However, the effects of seasonal climate variability on recent outbreaks are unknown. As the local cases were found to be spatially clustered, we developed a Poisson generalized linear mixed model using pre-summer monthly total rainfall and mean temperature to predict annual dengue incidence (the majority of local cases occur during or after the summer months), over the period 2002-2018 in three pre-defined areas of Hong Kong. Using leave-one-out cross-validation, 5 out of 6 observations of area-specific outbreaks during the major outbreak years 2002 and 2018 were able to be predicted. 42 out of a total of 51 observations (82.4%) were within the 95% confidence interval of the annual incidence predicted by our model. Our study found that the rainfall before and during the East Asian monsoon (pre-summer) rainy season is negatively correlated with the annual incidence in Hong Kong while the temperature is positively correlated. Hence, as mosquito control measures in Hong Kong are intensified mainly when heavy rainfalls occur during or close to summer, our study suggests that a lower-than-average intensity of pre-summer rainfall should also be taken into account as an indicator of increased dengue risk.",2020-01-21,ecology,Dengue,Dengue
10.1101/2020.07.31.230425,Temperature alters gene expression in mosquitoes during arbovirus infection,"Arthropod-borne viruses (arboviruses) such as dengue, Zika and chikungunya constitute a significant proportion of the global disease burden. The principal vector of these pathogens is the mosquito Aedes (Ae.) aegypti, and its ability to transmit virus to a human host is influenced by environmental factors such as temperature. However, exactly how ambient temperature influences virus replication within mosquitoes remains poorly elucidated, particularly at the molecular level. Here, we use chikungunya virus (CHIKV) as a model to understand how the host mosquito transcriptome responds to arbovirus infection under different ambient temperatures. We exposed CHIKV-infected mosquitoes to 18 {degrees}C, 28 {degrees}C and 32 {degrees}C, and found higher temperature correlated with higher virus replication levels, particularly at early time points post-infection. Lower ambient temperatures resulted in reduced virus replication levels. Using RNAseq, we found that temperature significantly altered gene expression levels in mosquitoes, particularly components of the immune response. The highest number of significantly differentially expressed genes in response to CHIKV was observed at 28 {degrees}C, with a markedly more muted effect observed at either lower (18 {degrees}C) or higher (32 {degrees}C) temperatures. At the higher temperature, the expression of many classical immune genes, including Dicer-2 in the RNAi pathway, was not substantially altered in response to CHIKV. Upregulation of Toll, IMD and JAK-STAT pathways was only observed at 28 {degrees}C. Time post infection also led to substantially different gene expression profiles, and this effect varied depending upon the which temperature mosquitoes were exposed to. Taken together, our data indicate temperature significantly modulates mosquito gene expression in response to infection, potentially leading to impairment of immune defences at higher ambient temperatures.",2020-07-31,microbiology,Dengue,Dengue
10.1101/2020.01.15.908020,Urban warming inverse contribution on risk of dengue transmission in the southeastern North America,"O_LIPreventing diseases from becoming a problem where they are not is a common ground for disease ecology. The expectation for vector-borne diseases, especially those transmitted by mosquitos, is that warm and wet conditions favor vector traits increasing transmission potential. The advent of urbanization altering inner climate conditions hazards to increase mosquitos transmission potential on ""disease-free"" cooler areas as a consequence of a warming urban heat island (UHI) effect.
C_LIO_LIWe assessed the realism of the anticipated dengue transmission potential into the southern United States in a causal pathway with the ongoing UHI effect, vectors spatial distribution patterns, and exogenous environment; We also measured the climatic niche similarity between both dengue vectors species.
C_LIO_LIOur path model revealed that the UHI effect presents negative or no relation with dengue transmission potential. Instead, the surrounding non-urban temperature was rather suitable for the expected mosquitos transmission potential.
C_LIO_LIBoth dengue vectors occurrence revealed to be more aggregated then expected by chance. These mosquitos density patterns were responsive to the warming effect of UHI-especially Aedes Aegypti-but not a reliable predictor for the anticipated dengue transmission potential pattern. The climatic niches of both vectors are not equivalent. Although currently highly overlapped, there is a wide space of their climatic niche still to be filled.
C_LIO_LIPolicy implications. We highlight that the warming UHI effect on urban sites is not congruent with the expected suitability for dengue transmission. Instead, non-urban areas would be a better focus for dengue hazards into the southern United States. Our study also highlights the need for including low scale temperature on further mosquito-borne disease transmission models and track vectors niche filling under anthropogenic changes.
C_LI",2020-01-16,ecology,Dengue,Dengue
10.1101/2020.07.13.200295,MORPHO-MOLECULAR MECHANISMS STUDY OF PHOTODYNAMIC THERAPY AND CURCUMIN LARVICIDE ACTION ON WILD MOSQUITOES LARVAE OF GENUS Aedes,"IntroductionUntil the first two weeks of October 2019, 1.489,457 probable dengue cases have been reported in Brazil, with an incidence rate of 708.8 cases per 100 thousand inhabitants. Still in 2019, in the same period, 123.407 probable cases of chikungunya were reported, with 15 deaths confirmed by clinical and epidemiological criteria. Regarding Zika, in that period, 10.441 probable cases were recorded, been the northeast region with the highest number of notifications, followed by the midwest one. It is well known that current policies to control the vectors of those arboviruses are not effective. Studies for use of light-activated photosensitizers as an alternative to conventional insecticides for sustainable control of mosquitoes vector such as Aedes (dengue, yellow fever, chikungunya, zika), Anopheles (malaria), Culex (yellow fever) can already be found showing advantages over conventional insecticides (efficacy, safety, non-mutagenicity and fast degradation).

ObjectiveTo evaluate the effectiveness of Photodynamic Therapy (PDT), mediated by curcumin and blue LED (460nm) in mortality of wild mosquitoes larvae of genus Aedes and also to verify, through confocal microscopy, how the photosensitizer internalizes in larvae organism. In addition to evaluating the action of PDT on the larvae with Raman spectroscopy and histological technique.

Materials and methodsOvitraps were placed in the city of Vitoria da Conquista, Bahia, and the larvae collected in stages L2 and L3 were fed for 24 hours with curcumin in concentrations of 10, 20 and 50% mixed with fish feed and then subjected to irradiation with blue LED for 2h (22mW / cm2 and 158.4 J / cm2). The larvae were placed in a container with dechlorinated water and mortality was monitored for 24 and 48 hours. Control groups in which only the larvae were exposed to blue LED for 2 hours and in which the larvae were only fed with fish feed mixed with curcumin (10, 20 and 50%) were included in the study, in addition to the group without treatment. All experiments were repeated after a 2-month interval to confirm the results, totaling 240 tests (tests 1 and 2, n = 15) between groups PDT 10%, PDT 20%, PDT 50%, curcumin 10%, curcumin 20%, curcumin 50%, blue LED and untreated group. The larvae belonging to the PDT 20% group, 20% curcumin, blue LED and control were submitted to histological slides, confocal microscopy and Raman spectroscopy. Larvae mortality rates were compared between groups using univariate descriptive analysis.

ResultsAll PDT groups showed larvicidal activity, with the PDT group 20% showing the highest larval mortality in the shortest time. The images from confocal microscopy by laser scanning showed that curcumin was distributed throughout the digestive system of larvae and the analysis by Raman microspectroscopy have shown patterns of alteration and cell death, corroborated by histological sections.

ConclusionIt was concluded that PDT in all concentrations was effective in larval mortality, with PDT 20% having the best activity with mortality of 100% in 24 hours.",2020-07-13,bioengineering,Dengue,Dengue
10.1101/2020.10.27.357418,High-throughput fluorescent assay for inhibitor screening of proteases from RNA viruses,"Spanish flu and other influenza outbreaks, the recent Zika epidemics, and the ongoing COVID-19 pandemic are the most profound examples of severe widespread diseases that are caused by RNA viruses. Perhaps less well known yet dangerous RNA viruses cause deadly diseases such as polio, Ebola, measles, rubella, yellow fever, dengue fever and many others. To combat a particular viral disease by diminishing its spread and number of fatal cases, effective vaccines and antivirals are indispensable. Therefore, quick access to the means of discovery of new treatments for any epidemic outbreak is of great interest and in vitro biochemical assays are the basis of drug discovery. The recent outbreak of the coronavirus pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) demands an affordable and reliable assay for testing antivirals. Here, we developed a quick and inexpensive high-throughput fluorescent assay to test inhibitors of viral proteases. Accordingly, we employed this assay to sample inhibitors for papain-like protease from SARS-CoV-2. In addition, we validated this assay for screening inhibitors of flaviviral protease from the tick-borne encephalitis virus to emphasize a broad range of applications of our approach. This fluorescent high-throughput assay is based on fluorescent energy transfer (FRET) between two distinct fluorescent proteins (eGFP and mCherry) connected via a substrate polypeptide. When the substrate is cleaved, FRET is abolished and the change in fluorescence corresponds to reaction progress. Our data show that this assay can be used for testing the inhibitors in the 96 or 384 well plates format with robust and reproducible outcomes.",2020-10-28,biochemistry,Dengue,Dengue
10.1101/2020.09.23.308817,Defining levels of dengue virus serotype-specific neutralizing antibodies induced by a live attenuated tetravalent dengue vaccine (TAK-003),"The four dengue virus serotypes (DENV1-4) infect several hundred million people each year living in tropical and sub-tropical regions. Clinical development of DENV vaccines is difficult because immunity to a single serotype increases risk of severe disease during a second infection with a new serotype. Leading vaccines are based on tetravalent formulations to induce simultaneous and balanced protective immunity to all 4 serotypes. TAK-003 is a tetravalent live attenuated dengue vaccine candidate developed by Takeda Vaccines Inc, which is currently being evaluated in phase 3 efficacy trials. Here, we use antibody depletion methods and chimeric, epitope transplant DENVs to characterize the specificity of neutralizing antibodies in dengue-naive adults and non-human primates immunized with TAK-003. Our results demonstrate that TAK-003 induced high levels of DENV2 neutralizing antibodies that recognized unique (type-specific) epitopes on DENV2. In contrast, most vaccinated subjects developed lower levels of DENV1, DENV3 and DENV4 neutralizing antibodies that mainly targeted epitopes that were conserved (cross-reactive) between serotypes. We conclude that the DENV2 component in the vaccine is immunodominant because of the high levels of serum neutralizing antibodies targeting type-specific epitopes. We also conclude that DENV1, 3 and 4 vaccine components are less immunogenic because most study subjects did not develop type-specific serum neutralizing antibodies to these serotypes. While DENV vaccine development has been guided by the presence of neutralizing antibodies to each serotype as a benchmark, our results indicate that the presence of neutralizing antibodies alone are not a reliable indicator of the immunogenicity of each vaccine component.

Author summaryThe development of tetravalent dengue vaccines has been guided by neutralizing antibodies to each serotype as a correlate of safe and effective vaccine induced immunity. However, the absolute levels of neutralizing antibodies to each serotype has proven to be an unreliable correlate of protection. Levels of antibodies to epitopes that are unique to each serotype, which are measures of immunity independently stimulated by each vaccine component, rather than total quantity of neutralizing antibodies, are likely to be better correlates of protection. Here, we mapped the specificity of antibodies induced by the Takeda tetravalent dengue vaccine TAK-003 in monkeys and humans with no prior immunity to dengue. The TAK-003 vaccine induces high levels of serotype 2 specific neutralizing antibodies that map to known protective epitopes. In contrast, the serotype 1, 3 and 4 neutralizing antibody responses are lower and mainly consist of cross-reactive antibodies binding to epitopes conserved between serotypes. These heterotypic antibodies, which are most likely derived from the serotype 2 component, may not provide long term protection in vivo.",2020-09-24,immunology,Dengue,Dengue
10.1101/2020.06.08.139907,"Structural Motifs, Disorder, and the Efficacy of Viral Vaccines","We demonstrate that it is possible to draw direct numerical correlations between virus particles and effective virus-like particle (VLP) derived vaccines through extraction of a Bragg-Williams order parameter from electron microscopy. The method has its roots in studies of disorder in metal alloys, and is adapted to describe the type and occurrence of structural motifs within the arrangement of viral coat proteins, captured by the value of the order parameter as a measure of disorder. A conventional approach to viral vaccine design consists of replicating select proteins to create a VLP designed to trigger an immune response while remaining non-infectious. Understanding variations between viruses and vaccine strains therefore tends to focus on differences between proteins, which can be characterized through genetic analysis. While such an approach provides vital information about the functioning and interactions of the proteins, it does not yet yield an early-stage pathway towards predicting the efficacy of a vaccine, and so large-scale clinical trials are required to obtain critical information. With the urgency associated with pandemics, including Coronavirus Disease-2019 (COVID-19) originating from the SARS-CoV-2 virus, there is a need for earlier indications of whether a vaccine has the necessary characteristics. Application of the methodology to Dengue and influenza virus particles indicates that temperature and pH during incubation could potentially be exploited to fine-tune the order parameter of VLP-based vaccines to match the corresponding virus. Additionally, utilization of an Ising model plot reveals a clear relationship between case fatality rate and order parameter for distinct virus families.",2020-06-08,immunology,Dengue,Dengue
10.1101/2020.01.12.903062,Activation of Src-family kinases orchestrate secretion of flaviviruses by targeting mature progeny virions to secretory autophagosomes,"Among the various host cellular processes that are hijacked by flaviviruses, very few mechanisms have been described with regard to viral secretion. Here we investigated how flaviviruses exploit the Src family kinases (SFKs) for exit from infected cells. We isolated three members of the SFK family - Src, Fyn and Lyn - that were specifically activated during secretion of Dengue and Zika or their corresponding virus like particles (VLPs). Pharmacological inhibition or genetic depletion of the SFKs blocked virus secretion, most significantly upon Lyn-deficiency. Lyn-/- cells were severely impaired in virus release, and were rescued when reconstituted with wild-type Lyn, but not a kinase- or palmitoylation-deficient Lyn mutant. We further established that Lyn, via its palmitoylation-dependent membrane association, triggered post-Golgi virus transport in specialised Rab11 and Transferrin receptor positive organelles resembling secretory autophagosomes, and distinct from conventional exocytic vesicles. In the absence of Lyn activity or its aberrant membrane association, virions were sorted into the lysosomal pathway for degradation. This mode of export was specifically triggered by processed, and mature, but not by furin-resistant virus particles, and occurred with significantly faster kinetics than the conventional secretory pathway. Our study therefore charts a previously undiscovered Lyn-dependent exit strategy, triggered by flaviviruses in secretory autophagosomes that might enable them to evade circulating antibodies and dictate tissue tropism.",2020-01-14,microbiology,Dengue,Dengue
10.1101/2020.06.19.162479,Dengue virus sustains viability of infected cells by counteracting apoptosis-mediated DNA breakage,"NS1, a virotoxin, abundantly present in Dengue patients blood, is a major player behind disease patho-biogenesis including plasma leakage and damage to the liver. Despite the presence of NS1 in blood, Dengue is asymptomatic and self-limiting in [&ge;]80% Dengue virus (DV) infected people. We investigated this observation and found that plasmid-mediated NS1 expression and secretion in liver cells (Huh7) are sufficient to cause programmed cell death (apoptosis) and associated cellular DNA breakage. However, liver or kidney cell lines infected with DV and secreting equivalent amounts of NS1 didnt exhibit apoptotic DNA breakage. In fact, DV-infected cells showed better survival than cells in which only NS1 was transiently expressed by transfection. We also found that DV can even prevent chemical-induced apoptotic DNA damage in infected host cells. So, DV thwarts host antiviral defence i.e. apoptosis, by counteracting cellular DNA breakages and keeps the infected cells metabolically active to prolong virus replication.",2020-06-20,microbiology,Dengue,Dengue
10.1101/2020.04.30.070250,Systematic mutational analysis of epitope-grafted ED3's immunogenicity reveals a DENV3-DENV4 bi-serospecific ED3 mutant,"Dengue viruses are classified into four serotypes (DENV1[~]4), and the severe forms of dengue disease, the dengue hemorrhagic fever and shock syndrome, are caused by sero-cross-reacting antibodies. However, the residue determinants of the serospecificity and sero-cross-reactivity are yet to be identified. Here, we report an epitope grafting mutational analysis of the serospecificity and cross-serospecificity of the envelope protein domain 3 (ED3; 107 residues, [~]11.6kDa), which contains two major putative epitopes of DENVs. To this end, we constructed ED3 from DENV3 (3ED3) and DENV4 (4ED3), and six epitope-grafted variants, where we transferred epitope 1 (L304I, K305D, V309M, and S310A) and/or epitope 2 (D383N, K384S, K387T, and N389H) of 4ED3 onto 3ED3 and vice versa. Mice immunization using 3ED3 and 4ED3 generated serotype-specific antisera, as expected. Similarly, most epitope-grafted ED3s produced antisera serospecific to the template ED3 with little or no cross-recognition of ED3 of the serotype from which the epitopes were taken. This result indicated that a mere grafting of the epitope was not sufficient to transfer serospecificity, contrary to our expectations. However, one epitope grafted ED3 mutant, where epitope 1 of 3ED3 was grafted onto 4ED3 (4ED3epi1), generated antisera that was serospecific to both 4ED3 and 3ED3. The 4ED3epi1 is thus a chimeric ED3 that produces antisera possessing serospecificity to both 3ED3 and 4ED3. The 4ED3epi1 provides a unique tool for analyzing serospecificity and cross-reactivity in dengue, and we hope it will serve as a template for trivalent and eventually tetravalent antisera.",2020-04-30,immunology,Dengue,Dengue
10.1101/740829,"A new knockdown resistance (kdr) mutation, F1534L, in the voltage-gated sodium channel of Aedes aegypti, co-occurring with F1534C, S989P and V1016G","BackgroundAedes aegypti is a primary vector of dengue, chikungunya and zika infections in India. In the absence of specific drugs or safe and effective vaccines for these infections, their control relies mainly on vector control measures. The emergence of insecticide resistance in vectors, especially against pyrethroids, is a serious threat to the insecticide-based vector control programme. This study reports the presence of multiple knockdown resistance (kdr) mutations present in an Ae. aegypti population from Bengaluru (India), including a new mutation F1534L.

MethodsAedes aegypti collected from Bengaluru were subjected to insecticide susceptibility tests with DDT, deltamethrin and permethrin. The DNA sequencing of partial domain II, III and IV of the voltage-gated sodium channel (VGSC) was performed to screen kdr mutations present in the population and PCR-based assays were developed for their detection. Genotyping of kdr mutations was done using PCR-based assays, allelic frequencies were determined, and tests of genetic association of kdr mutations with the insecticide resistance phenotype were performed.

ResultsThe Ae. aegypti population were resistant to DDT, deltamethrin and permethrin. The DNA sequencing of the VGSC revealed the presence of four kdr mutations, i.e., S989P and V1016G in domain II and two alternative kdr mutations F1534C and F1534L in domain III. Allele-specific PCR assays (ASPCR) were developed for the detection of kdr mutations S989P and V1016G and an existing PCR-RFLP based strategy was modified for the genotyping of all three known kdr mutations in domain III (F1534L, F1534C and T1520I). Genotyping of Ae. aegypti samples collected between October 2014 and April 2015 revealed a moderate frequency of S989P/V1016G (18.27%) and F1534L (17.48%), a relatively high frequency of F1534C (50.61%) and absence of T1520I in the population. Mutations S989P and V1016G were in complete linkage disequilibrium in this population while they were in linkage equilibrium with kdr mutations F1534C and F1534L. The alleles F1534C and F1534L are genetically associated with permethrin resistance.

ConclusionsA new kdr mutation, F1534L, was found in an Ae. aegypti population from Bengaluru (India), co-occurring with the other three mutations S989P, V1016G and F1534C. The findings of a new mutation and development of PCR-based diagnostics have implications for insecticide resistance management. Monitoring of F1534L-kdr in other populations and studies on their functional role in altering neuro-sensitivity is warranted.",2020-05-30,molecular biology,Dengue,Dengue
10.1101/708743,"Interdependence between confirmed and discarded cases of dengue, chikungunya and Zika viruses in Brazil: A multivariate time-series analysis","The co-circulation of different arboviruses in the same time and space poses a significant threat to public health given their rapid geographic dispersion and serious health, social, and economic impact. Therefore, it is crucial to have high quality of case registration to estimate the real impact of each arboviruses in the population. In this work, a Vector Autoregressive (VAR) model was developed to investigate the interrelationships between discarded and confirmed cases of dengue, chikungunya, and Zika in Brazil. We used data from the Brazilian National Notifiable Diseases Information System (SINAN) from 2010 to 2017. There were three peaks in the series of dengue notification in this period occurring in 2013, 2015 and in 2016. The series of reported cases of both Zika and chikungunya reached their peak in late 2015 and early 2016. The VAR model shows that the Zika series have a significant impact on the dengue series and vice versa, suggesting that several discarded and confirmed cases of dengue could actually have been cases of Zika. The model also suggests that the series of confirmed and discarded chikungunya cases are almost independent of the cases of Zika, however, affecting the series of dengue. In conclusion, co-circulation of arboviruses with similar symptoms could have lead to misdiagnosed diseases in the surveillance system. We argue that the routinely use of mathematical and statistical models in association with traditional symptom-surveillance could help to decrease such errors and to provide early indication of possible future outbreaks. These findings address the challenges regarding notification biases and shed new light on how to handle reported cases based only in clinical-epidemiological criteria when multiples arboviruses co-circulate in the same population.

Author summaryArthropod-borne viruses (arboviruses) transmission is a growing health problem worldwide. The real epidemiological impact of the co-circulation of different arboviruses in the same urban spaces is a recent phenomenon and there are many issues to explore. One of them is the misclassification due to the scarce availability of confirmatory laboratory tests. This establishes a challenge to identify, distinguish and estimate the number of infections when different arboviruses co-circulate. We propose the use of multivariate time series analysis to understand how the weekly notification of suspected cases of dengue, chikungunya and Zika, in Brazil, affected each other. Our results suggest that the series of Zika significantly impact on the series of dengue and vice versa, indicating that several discarded and confirmed cases of dengue might actually have been Zika cases. The results also suggest that the series of confirmed cases of chikungunya are almost independent of those of dengue and Zika. Our findings shed light on yet hidden aspects on the co-circulation of these three viruses based on reported cases. We believe the present work provides a new perspective on the longitudinal analysis of arboviruses transmission and call attention to the challenge in dealing with biases in case notifications when multiple arboviruses circulate in the same urban environment.",2020-02-03,epidemiology,Dengue,Dengue
10.1101/2020.09.28.315218,Inoculation by mosquito induces durable differences in serological profile in non-human primates infected with DENV1,"Natural dengue virus (DENV) infections are delivered by mosquito bite but how the route of inoculation route could shape the humoral immune response is not well understood. Here, we serologically profiled 20 non-human primates (NHP) from a prior study of DENV1 infection in which the animals were inoculated by mosquito (N=10) or subcutaneous injection (N=10). Using a comprehensive, densely tiled and highly redundant pan-flavivirus programmable phage library containing 91,562 overlapping 62 amino acid peptides, we produced a high-resolution map of linear peptide sequences enriched during DENV seroconversion. We found that serological profiles in mosquito-inoculated and subcutaneously-inoculated animals were similar up to 90 days after primary infection, but diverged at 1 year. We found differences in sero-reactivity, as indicated by the median area under the curve (AUC) in the Envelope (E; residues 215-406; p < 0.08), and Nonstructural-3 (NS3; residues 549-615; p < 0.05) proteins in mosquito-inoculated versus subcutaneously-inoculated animals. Within the E protein, residues 339-384 in domain III accounted for >99% of the total AUC difference across residues 215-406. Antibody breadth did not vary by mode of inoculation. The differential reactivity to E domain III (EDIII) seen by phage display validated orthogonally by ELISA, but did not correlate with late neutralization titers. Serological profiling of humoral immune responses to DENV infection in NHP by programmable phage display demonstrated durable differences in sero-reactivity by route of inoculation. These findings could have implications for DENV diagnostics and evaluation of vaccines.

IMPORTANCEDengue virus (DENV) infections are transmitted by mosquito bite, but how being infected by mosquito bite affects the immune response is not known. In this study, we analyzed antibodies produced by rhesus macaques infected with DENV using programmable phage display, a high-throughput method for characterizing what viral protein derived peptides serum antibodies bind to. We found that while there was no difference in antibody binding profiles at early timepoints post-infection, at one year post-infection, there were substantial differences in the antibody binding profiles of macaques who were infected by mosquito bite versus those that were infected by injection. In general, antibodies in the macaques inoculated by mosquito maintained higher levels of sero-reactivity, with a strong signal still present one year post-infection. The findings we report could have implications for DENV diagnostics and evaluation of DENV vaccines.",2020-09-30,immunology,Dengue,Dengue
10.1101/2020.02.07.938720,Climate explains geographic and temporal variation in mosquito-borne disease dynamics on two continents,"Climate drives population dynamics through multiple mechanisms, which can lead to seemingly context-dependent effects of climate on natural populations. For climate-sensitive diseases such as dengue, chikungunya, and Zika, climate appears to have opposing effects in different contexts. Here we show that a model, parameterized with laboratory measured climate-driven mosquito physiology, captures three key epidemic characteristics across ecologically and culturally distinct settings in Ecuador and Kenya: the number, timing, and duration of outbreaks. The model generates a range of disease dynamics consistent with observed Aedes aegypti abundances and laboratory-confirmed arboviral incidence with variable accuracy (28 - 85% for vectors, 44 - 88% for incidence). The model predicted vector dynamics better in sites with a smaller proportion of young children in the population, lower mean temperature, and homes with piped water and made of cement. Models with limited calibration that robustly capture climate-virus relationships can help guide intervention efforts and climate change disease projections.",2020-02-07,ecology,Dengue,Dengue
10.1101/2020.02.13.948208,A Critical Role for Perivascular Cells in Amplifying Viral Haemorrhage Induced by Dengue Virus Non-Structural Protein 1,"Dengue is the most prevalent arthropod-borne viral disease affecting humans, with severe dengue typified by potentially fatal microvascular leakage and hypovolaemic shock. Blood vessels of the microvasculature are composed of a tubular structure of endothelial cells ensheathed by perivascular cells (pericytes). Pericytes support endothelial cell barrier formation and maintenance through paracrine and contact-mediated signalling, and are critical to microvascular integrity. Pericyte dysfunction has been linked to vascular leakage in noncommunicable pathologies such as diabetic retinopathy, but has never been linked to infection-related vascular leakage. Dengue vascular leakage has been shown to result in part from the direct action of the secreted dengue virus (DENV) non-structural protein NS1 on endothelial cells. Using primary human vascular cells, we show here that NS1 also causes pericyte dysfunction, and that NS1-induced endothelial hyperpermeability is more pronounced in the presence of pericytes. Notably, NS1 specifically disrupted the ability of pericytes to support endothelial cell function in a 3D microvascular assay, with no effect on pericyte viability or physiology. These effects are mediated at least in part through contact-independent paracrine signals involved in endothelial barrier maintenance by pericytes. We therefore identify a role for pericytes in amplifying NS1-induced microvascular hyperpermeability in severe dengue, and thus show that pericytes can play a critical role in the aetiology of an infectious vascular leakage syndrome. These findings open new avenues of research for the development of drugs and diagnostic assays for combating infection-induced vascular leakage, such as severe dengue.

SIGNIFICANCE STATEMENTThe World Health Organisation considers dengue one of the top ten global public health problems. There is no specific antiviral therapy to treat dengue virus and no way of predicting which patients will develop potentially fatal severe dengue, typified by vascular leakage and circulatory shock. We show here that perivascular cells (pericytes) amplify the vascular leakage-inducing effects of the dengue viral protein NS1 through contact-independent signalling to endothelial cells. While pericytes are known to contribute to noncommunicable vascular leakage, this is the first time these cells have been implicated in the vascular effects of an infectious disease. Our findings could pave the way for new therapies and diagnostics to combat dengue, and potentially other infectious vascular leakage syndromes.",2020-02-14,microbiology,Dengue,Dengue
10.1101/2020.05.22.109900,"Broad-spectrum virucidal activity of bacterial secreted lipases against flaviviruses, SARS-CoV-2 and other enveloped viruses","Viruses are the major aetiological agents of acute and chronic severe human diseases that place a tremendous burden on global public health and economy; however, for most viruses, effective prophylactics and therapeutics are lacking, in particular, broad-spectrum antiviral agents. Herein, we identified 2 secreted bacterial lipases from a Chromobacterium bacterium, named Chromobacterium antiviral effector-1 (CbAE-1) and CbAE-2, with a broad-spectrum virucidal activity against dengue virus (DENV), Zika virus (ZIKV), severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), human immunodeficiency virus (HIV) and herpes simplex virus (HSV). The CbAEs potently blocked viral infection in the extracellular milieu through their lipase activity. Mechanistic studies showed that this lipase activity directly disrupted the viral envelope structure, thus inactivating infectivity. A mutation of CbAE-1 in its lipase motif fully abrogated the virucidal ability. Furthermore, CbAE-2 presented low toxicity in vivo and in vitro, highlighting its potential as a broad-spectrum antiviral drug.",2020-05-22,microbiology,Dengue,Dengue
10.1101/2020.06.26.172668,A new subclass of exoribonuclease resistant RNA found in multiple Flaviviridae genera,"Viruses have developed innovative strategies to exploit the cellular machinery and overcome the host antiviral defenses, often using specifically structured RNA elements. Examples are found in flaviviruses; during flaviviral infection, pathogenic subgenomic flaviviral RNAs (sfRNAs) accumulate in the cell. These sfRNAs are formed when a host cell 5 to 3 exoribonuclease degrades the viral genomic RNA but is blocked by an exoribonuclease resistant RNA structure (xrRNA) located in the viral genomes 3untranslated region (UTR). Although known to exist in several Flaviviridae genera the full distribution and diversity of xRNAs in this virus family was unknown. Using the recent high-resolution structure of an xrRNA from the divergent flavivirus Tamana bat virus (TABV) as a reference, we used bioinformatic searches to identify xrRNA in the Pegivirus, Pestivirus, and Hepacivirus genera. We biochemically and structurally characterized several examples, determining that they are genuine xrRNAs with a conserved fold. These new xrRNAs look superficially similar to the previously described xrRNAs but possess structural differences making them distinct from previous classes of xrRNAs. Our findings thus require adjustments of previous xrRNA classification schemes and expand on the previously known distribution of the xrRNA in Flaviviridae, indicating their widespread distribution and illustrating their importance.

IMPORTANCEThe Flaviviridae comprise one of the largest families of positive sense single stranded (+ssRNA) and it is divided into the Flavivirus, Pestivirus, Pegivirus, and Hepacivirus genera. The genus Flavivirus contains many medically relevant viruses such as Zika Virus, Dengue Virus, and Powassan Virus. In these, a part of the viruss RNA twists up into a very special three-dimensional shape called an xrRNA that blocks the ability of the cell to ""chew up"" the viral RNA. Hence, part of the virus RNA remains intact, and this protected part is important for viral infection. This was known to occur in Flaviviruses but whether it existed in the other members of the family was not known. In this study, we not only identified a new subclass of xrRNA found in Flavivirus but also in the remaining three genera. The fact that this process of viral RNA maturation exists throughout the entire Flaviviridae family makes it clear that this is an important but underappreciated part of the infection strategy of these diverse human pathogens.",2020-06-26,microbiology,Dengue,Dengue
